Ano,UF,Casos_1,Casos_1_4,Casos_5_9,Casos_10_14,Casos_15_19,Casos_20_39,Casos_40_59,Casos_60_64,Casos_65_69,Casos_70_79,Casos_80,Casos_total,Casos_1M,Casos_1_4M,Casos_5_9M,Casos_10_14M,Casos_15_19M,Casos_20_39M,Casos_40_59M,Casos_60_64M,Casos_65_69M,Casos_70_79M,Casos_80M,Casos_M_total,Casos_1F,Casos_1_4F,Casos_5_9F,Casos_10_14F,Casos_15_19F,Casos_20_39F,Casos_40_59F,Casos_60_64F,Casos_65_69F,Casos_70_79F,Casos_80F,Casos_F_total
2017,Rondônia,7,3,8,5,8,39,43,9,1,1,1,125,3,-,5,1,2,8,12,3,-,1,1,36,4,3,3,4,6,31,31,6,1,-,-,89
2017,Acre,1,1,5,8,6,31,17,1,1,-,-,71,-,-,3,2,2,8,8,1,-,-,-,24,1,1,2,6,4,23,9,-,1,-,-,47
2017,Amazonas,2,5,6,3,12,32,27,3,2,2,-,94,1,1,5,1,5,9,12,2,-,1,-,37,1,4,1,2,7,23,15,1,2,1,-,57
2017,Roraima,46,81,198,288,312,1561,1035,172,91,126,44,3954,20,40,91,169,135,563,342,63,37,40,15,1515,26,41,107,119,177,998,693,109,54,86,29,2439
2017,Pará,103,205,405,562,584,2791,1913,261,205,213,83,7325,48,106,195,279,236,1037,631,105,76,78,30,2821,55,99,210,283,348,1754,1282,155,129,135,53,4503
2017,Amapá,3,9,9,26,17,82,57,6,1,4,-,214,-,7,3,11,12,30,13,2,1,4,-,83,3,2,6,15,5,52,44,4,-,-,-,131
2017,Tocantins,33,42,108,187,208,913,643,91,91,78,32,2426,15,28,56,102,84,291,197,25,33,29,12,872,18,14,52,85,124,622,445,66,58,49,20,1553
2017,Maranhão,101,104,250,374,483,1930,1202,191,168,218,88,5109,42,50,135,193,203,755,417,59,71,98,32,2055,59,54,114,181,279,1174,785,131,97,120,56,3050
2017,Piauí,73,72,178,277,370,2074,1523,314,214,273,103,5471,28,39,88,134,169,752,435,103,84,104,35,1971,45,33,89,142,201,1315,1083,210,130,168,68,3484
2017,Ceará,1074,1635,3744,5567,7899,39915,30957,5181,4324,5205,2398,107899,537,820,1912,2812,3354,15468,10096,1737,1486,1893,890,41005,536,815,1830,2752,4541,24428,20845,3442,2829,3311,1508,66837
2017,Rio Grande do Norte,35,21,32,40,59,342,272,33,43,44,22,943,14,16,15,24,24,157,95,11,16,22,11,405,21,5,17,16,35,185,177,22,27,22,11,538
2017,Paraíba,21,40,47,60,99,568,402,59,46,64,24,1430,13,24,26,37,47,229,159,22,16,25,10,608,8,16,21,23,52,337,242,37,30,39,14,819
2017,Pernambuco,13,31,60,51,89,501,346,54,46,44,15,1250,7,16,29,20,32,213,115,20,14,18,5,489,6,15,31,31,57,286,230,34,32,26,10,758
2017,Alagoas,9,5,15,20,42,183,130,18,12,16,11,461,5,2,10,14,18,77,40,8,4,5,6,189,4,3,5,6,24,106,90,10,8,11,5,272
2017,Sergipe,2,1,8,10,23,129,73,12,7,10,6,281,-,-,5,4,10,56,22,2,4,5,3,111,2,1,3,6,13,72,51,10,3,5,3,169
2017,Bahia,88,142,286,482,551,2306,1728,287,242,289,103,6504,40,73,154,256,232,847,620,104,96,109,47,2578,48,69,132,226,319,1458,1108,183,146,180,56,3925
2017,Minas Gerais,71,157,472,731,1054,4689,4238,785,579,741,281,13798,30,78,251,368,527,1880,1471,256,207,255,100,5423,41,78,220,362,527,2804,2762,528,371,485,181,8359
2017,Espírito Santo,6,14,28,33,34,225,264,53,41,31,9,738,2,6,18,15,11,68,84,20,15,8,5,252,4,8,10,18,23,157,180,33,26,23,4,486
2017,Rio de Janeiro,32,38,81,168,263,1412,1371,246,168,185,64,4028,15,19,39,85,94,529,440,90,46,71,23,1451,17,19,42,83,169,883,930,155,122,114,41,2575
2017,São Paulo,7,11,27,15,43,270,203,25,19,20,4,644,4,6,16,7,19,94,68,9,6,9,3,241,3,5,11,8,24,176,135,16,13,11,1,403
2017,Paraná,1,3,3,3,5,21,20,-,1,1,-,58,1,1,3,2,-,7,9,-,1,-,-,24,-,2,-,1,5,14,11,-,-,1,-,34
2017,Santa Catarina,-,-,1,-,4,7,15,1,3,2,-,33,-,-,-,-,1,2,8,-,-,2,-,13,-,-,1,-,3,5,7,1,3,-,-,20
2017,Rio Grande do Sul,1,-,-,-,-,9,5,1,2,2,-,20,-,-,-,-,-,3,1,1,1,-,-,6,1,-,-,-,-,6,4,-,1,2,-,14
2017,Mato Grosso do Sul,4,6,10,4,8,54,20,1,2,1,1,111,1,2,4,1,3,9,5,1,1,1,-,28,3,4,6,3,5,44,15,-,1,-,1,82
2017,Mato Grosso,25,61,136,174,194,1101,1062,213,105,109,36,3216,13,30,71,78,76,361,285,56,29,33,13,1045,12,31,65,96,118,737,777,157,76,76,23,2168
2017,Goiás,1,-,3,2,1,16,19,6,3,4,-,55,-,-,2,2,-,2,9,-,2,2,-,19,1,-,1,-,1,14,10,6,1,2,-,36
2017,Distrito Federal,4,3,4,1,2,12,12,3,-,3,-,44,3,3,3,-,-,4,4,-,-,2,-,19,1,-,1,1,2,8,8,3,-,1,-,25
2018,Rondônia,1,1,8,5,5,27,11,3,1,-,-,62,1,1,6,4,4,10,2,1,-,-,-,29,-,-,2,1,1,17,9,2,1,-,-,33
2018,Acre,6,11,15,14,12,99,63,5,4,4,3,236,4,5,7,7,2,28,15,-,1,1,-,70,2,6,8,7,10,71,47,5,3,3,3,165
2018,Amazonas,-,1,2,-,-,3,2,-,-,-,-,8,-,-,1,-,-,2,1,-,-,-,-,4,-,1,1,-,-,1,1,-,-,-,-,4
2018,Roraima,1,3,1,2,3,11,12,4,2,-,-,39,1,3,-,-,1,3,4,2,2,-,-,16,-,-,1,2,2,8,8,2,-,-,-,23
2018,Pará,67,89,212,320,383,2434,2452,385,249,271,79,6941,27,49,110,183,140,822,750,133,78,105,21,2418,40,40,102,137,242,1607,1700,251,171,166,58,4514
2018,Amapá,6,9,11,12,20,66,46,3,1,5,1,180,2,3,8,4,6,15,17,1,-,3,-,59,4,6,3,8,14,51,29,2,1,2,1,121
2018,Tocantins,3,9,6,3,6,38,23,2,2,2,-,94,2,6,2,2,1,22,6,1,1,-,-,43,1,3,4,1,5,16,17,1,1,2,-,51
2018,Maranhão,32,23,22,27,43,199,132,16,13,25,7,539,15,9,15,18,12,77,52,9,4,12,5,228,17,14,7,9,31,122,80,7,9,13,2,311
2018,Piauí,9,9,21,14,37,251,123,22,18,20,10,534,2,7,10,7,8,100,46,13,8,7,5,213,7,2,11,7,29,151,77,9,10,13,5,321
2018,Ceará,32,59,61,92,136,624,411,44,42,58,12,1571,14,26,30,39,61,281,125,19,18,20,4,637,18,33,31,53,75,343,286,25,24,38,8,934
